,type,id,groupId,attributes
0,Hidráulica,10288,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-01-11T09:21:23.000+01:00', 'values': [{'value': 297.621, 'percentage': 0.0029764333813252684, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 258.53, 'percentage': 0.003272681898952499, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 282.265, 'percentage': 0.0025116335173575484, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 137.806, 'percentage': 0.0017783751665186131, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 267.836, 'percentage': 0.001366641171536352, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 282.177, 'percentage': 0.0015749891167865227, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 289.726, 'percentage': 0.0014872303651286421, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 280.659, 'percentage': 0.0015767635572766544, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 277.52, 'percentage': 0.0021084572253920035, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 282.507, 'percentage': 0.0019355114658262675, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 231.258, 'percentage': 0.0021229930090537357, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 155.36, 'percentage': 0.001387182924435362, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
1,Hidroeólica,1455,1,"{'title': 'Hidroeólica', 'description': None, 'color': '#00FFFF', 'type': 'Renovable', 'magnitude': None, 'composite': False, 'last-update': '2022-11-10T20:29:47.000+01:00', 'values': [{'value': 993.17, 'percentage': 0.009932445430029524, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 1226.483, 'percentage': 0.015525814077565306, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 1921.443, 'percentage': 0.017097269021990116, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 835.908, 'percentage': 0.010787324417617816, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 3227.077, 'percentage': 0.01646625655967837, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 3002.042, 'percentage': 0.016756090957576436, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 3578.218, 'percentage': 0.018367818085535573, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 2663.478, 'percentage': 0.014963621498003303, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 1429.314, 'percentage': 0.0108592080954668, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 1853.455, 'percentage': 0.012698387664351767, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 1139.79, 'percentage': 0.010463491865316475, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 1227.861, 'percentage': 0.01096336130780206, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
2,Eólica,10291,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-09-08T09:47:56.000+02:00', 'values': [{'value': 81695.52, 'percentage': 0.8170165170896077, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 58777.922, 'percentage': 0.7440584898752249, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 84883.153, 'percentage': 0.7553021881345152, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 53035.683, 'percentage': 0.6844211542788657, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 164670.892, 'percentage': 0.8402381336370617, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 150392.79, 'percentage': 0.8394270528539214, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 162253.472, 'percentage': 0.8328844853618589, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 148350.357, 'percentage': 0.833443561854712, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 107872.593, 'percentage': 0.8195616464853734, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 122018.634, 'percentage': 0.8359738525114736, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 91768.507, 'percentage': 0.8424525802882443, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 92741.406, 'percentage': 0.8280721858350104, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
3,Solar fotovoltaica,1458,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-10T20:29:51.000+01:00', 'values': [{'value': 16647.461, 'percentage': 0.16648710485721954, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 18033.656, 'percentage': 0.22828460744647097, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 24504.39, 'percentage': 0.21804349546136126, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 22758.418, 'percentage': 0.2936955241459022, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 27092.844, 'percentage': 0.13824204387913358, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 24760.27, 'percentage': 0.13820104324128413, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 27953.649, 'percentage': 0.14349252607273047, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 26132.583, 'percentage': 0.1468148341293435, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 21642.745, 'percentage': 0.16443067913147397, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 21049.276, 'percentage': 0.14421276303009015, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 15037.382, 'percentage': 0.13804606483006202, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 17045.5, 'percentage': 0.15219636031451442, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
4,Otras renovables,10292,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-02-08T08:24:13.000+01:00', 'values': [{'value': 358.723, 'percentage': 0.0035874992418180986, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 699.782, 'percentage': 0.008858406701786168, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 791.785, 'percentage': 0.007045413864775818, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 722.021, 'percentage': 0.009317621991095709, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 722.568, 'percentage': 0.003686924752589938, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 723.959, 'percentage': 0.004040823830431446, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 734.029, 'percentage': 0.003767940114746388, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 569.807, 'percentage': 0.003201218960664503, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 400.133, 'percentage': 0.003040009062293811, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 755.997, 'percentage': 0.005179485328258276, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 753.238, 'percentage': 0.0069148700073235, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 826.638, 'percentage': 0.0073809096182376336, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
5,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2022-01-11T09:21:23.000+01:00', 'values': [{'value': 99992.495, 'percentage': 1, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 78996.373, 'percentage': 1, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 112383.03600000001, 'percentage': 1, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 77489.836, 'percentage': 1, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 195981.217, 'percentage': 1, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 179161.238, 'percentage': 1, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 194809.094, 'percentage': 1, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 177996.884, 'percentage': 1, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 131622.305, 'percentage': 1, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 145959.869, 'percentage': 1, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 108930.17499999999, 'percentage': 1, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 111996.76500000001, 'percentage': 1, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
