,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2020-01-24T13:30:10.000+01:00', 'values': [{'value': 4832.856, 'percentage': 0.037240765284543606, 'datetime': '2019-01-01T00:00:00.000+01:00'}, {'value': 6169.385, 'percentage': 0.05918480432450164, 'datetime': '2019-02-01T00:00:00.000+01:00'}, {'value': 8314.541, 'percentage': 0.06759724031938227, 'datetime': '2019-03-01T00:00:00.000+01:00'}, {'value': 5478.406, 'percentage': 0.04160348134731706, 'datetime': '2019-04-01T00:00:00.000+02:00'}, {'value': 9242.694, 'percentage': 0.07055451693971715, 'datetime': '2019-05-01T00:00:00.000+02:00'}, {'value': 10018.641, 'percentage': 0.07468900334804204, 'datetime': '2019-06-01T00:00:00.000+02:00'}, {'value': 11466.179, 'percentage': 0.057185857654453186, 'datetime': '2019-07-01T00:00:00.000+02:00'}, {'value': 11126.529, 'percentage': 0.0546042986252797, 'datetime': '2019-08-01T00:00:00.000+02:00'}, {'value': 4749.934, 'percentage': 0.027503875581531206, 'datetime': '2019-09-01T00:00:00.000+02:00'}, {'value': 3332.928, 'percentage': 0.018856340985861583, 'datetime': '2019-10-01T00:00:00.000+02:00'}, {'value': 3980.782, 'percentage': 0.018170329137911893, 'datetime': '2019-11-01T00:00:00.000+01:00'}, {'value': 3543.821, 'percentage': 0.022998065709168947, 'datetime': '2019-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2019-05-21T12:20:14.000+02:00', 'values': [{'value': 68802.536, 'percentage': 0.5301749305498367, 'datetime': '2019-01-01T00:00:00.000+01:00'}, {'value': 32644.503, 'percentage': 0.3131687392382882, 'datetime': '2019-02-01T00:00:00.000+01:00'}, {'value': 39451.247, 'percentage': 0.32073874244631295, 'datetime': '2019-03-01T00:00:00.000+01:00'}, {'value': 54929.791, 'percentage': 0.4171415070881064, 'datetime': '2019-04-01T00:00:00.000+02:00'}, {'value': 28923.795, 'percentage': 0.22079107934206263, 'datetime': '2019-05-01T00:00:00.000+02:00'}, {'value': 25612.208, 'percentage': 0.19093909933121161, 'datetime': '2019-06-01T00:00:00.000+02:00'}, {'value': 28001.488, 'percentage': 0.13965324515524127, 'datetime': '2019-07-01T00:00:00.000+02:00'}, {'value': 19049.268, 'percentage': 0.09348575089904358, 'datetime': '2019-08-01T00:00:00.000+02:00'}, {'value': 30184.471, 'percentage': 0.17477925690721952, 'datetime': '2019-09-01T00:00:00.000+02:00'}, {'value': 31957.067, 'percentage': 0.18079999095690774, 'datetime': '2019-10-01T00:00:00.000+02:00'}, {'value': 102944.56, 'percentage': 0.4698917293530565, 'datetime': '2019-11-01T00:00:00.000+01:00'}, {'value': 62078.936, 'percentage': 0.4028689511358767, 'datetime': '2019-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2020-12-02T11:22:17.000+01:00', 'values': [{'value': 50742.54, 'percentage': 0.3910091718192235, 'datetime': '2019-01-01T00:00:00.000+01:00'}, {'value': 58696.982, 'percentage': 0.5630981684736477, 'datetime': '2019-02-01T00:00:00.000+01:00'}, {'value': 67200.837, 'percentage': 0.5463429825353723, 'datetime': '2019-03-01T00:00:00.000+01:00'}, {'value': 63908.605, 'percentage': 0.4853273846535934, 'datetime': '2019-04-01T00:00:00.000+02:00'}, {'value': 83454.705, 'percentage': 0.6370552132983736, 'datetime': '2019-05-01T00:00:00.000+02:00'}, {'value': 88044.719, 'percentage': 0.6563736850305767, 'datetime': '2019-06-01T00:00:00.000+02:00'}, {'value': 152054.781, 'percentage': 0.7583505422290243, 'datetime': '2019-07-01T00:00:00.000+02:00'}, {'value': 164647.901, 'percentage': 0.8080222641067567, 'datetime': '2019-08-01T00:00:00.000+02:00'}, {'value': 131372.092, 'percentage': 0.7606930271564765, 'datetime': '2019-09-01T00:00:00.000+02:00'}, {'value': 133912.582, 'percentage': 0.7576225194451095, 'datetime': '2019-10-01T00:00:00.000+02:00'}, {'value': 106792.108, 'percentage': 0.4874539102345804, 'datetime': '2019-11-01T00:00:00.000+01:00'}, {'value': 83995.317, 'percentage': 0.5450980226226085, 'datetime': '2019-12-01T00:00:00.000+01:00'}]}"
3,Solar térmica,1708,1,"{'title': 'Solar térmica', 'description': None, 'color': '#ff0000', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2020-04-23T12:44:04.000+02:00', 'values': [{'value': 1619.054, 'percentage': 0.012476020389807076, 'datetime': '2019-01-01T00:00:00.000+01:00'}, {'value': 2677.484, 'percentage': 0.025685926007532993, 'datetime': '2019-02-01T00:00:00.000+01:00'}, {'value': 3764.866, 'percentage': 0.030608370536902938, 'datetime': '2019-03-01T00:00:00.000+01:00'}, {'value': 3310.348, 'percentage': 0.02513906440507117, 'datetime': '2019-04-01T00:00:00.000+02:00'}, {'value': 5481.421, 'percentage': 0.04184267171435312, 'datetime': '2019-05-01T00:00:00.000+02:00'}, {'value': 6825.33, 'percentage': 0.0508828587850879, 'datetime': '2019-06-01T00:00:00.000+02:00'}, {'value': 5758.005, 'percentage': 0.02871719116748742, 'datetime': '2019-07-01T00:00:00.000+02:00'}, {'value': 5228.093, 'percentage': 0.025657269343632178, 'datetime': '2019-08-01T00:00:00.000+02:00'}, {'value': 2728.062, 'percentage': 0.015796488504198833, 'datetime': '2019-09-01T00:00:00.000+02:00'}, {'value': 2881.476, 'percentage': 0.01630221054837563, 'datetime': '2019-10-01T00:00:00.000+02:00'}, {'value': 1415.139, 'percentage': 0.006459419633101108, 'datetime': '2019-11-01T00:00:00.000+01:00'}, {'value': 819.324, 'percentage': 0.005317104670100194, 'datetime': '2019-12-01T00:00:00.000+01:00'}]}"
4,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2019-04-22T15:23:13.000+02:00', 'values': [{'value': 3776.287, 'percentage': 0.029099111956589086, 'datetime': '2019-01-01T00:00:00.000+01:00'}, {'value': 4050.987, 'percentage': 0.03886236195602964, 'datetime': '2019-02-01T00:00:00.000+01:00'}, {'value': 4269.699, 'percentage': 0.03471266416202965, 'datetime': '2019-03-01T00:00:00.000+01:00'}, {'value': 4054.282, 'percentage': 0.030788562505911995, 'datetime': '2019-04-01T00:00:00.000+02:00'}, {'value': 3898.126, 'percentage': 0.02975651870549343, 'datetime': '2019-05-01T00:00:00.000+02:00'}, {'value': 3637.202, 'percentage': 0.027115353505081704, 'datetime': '2019-06-01T00:00:00.000+02:00'}, {'value': 3226.796, 'percentage': 0.01609316379379381, 'datetime': '2019-07-01T00:00:00.000+02:00'}, {'value': 3714.749, 'percentage': 0.01823041702528786, 'datetime': '2019-08-01T00:00:00.000+02:00'}, {'value': 3665.975, 'percentage': 0.021227351850573895, 'datetime': '2019-09-01T00:00:00.000+02:00'}, {'value': 4669.645, 'percentage': 0.026418938063745637, 'datetime': '2019-10-01T00:00:00.000+02:00'}, {'value': 3948.858, 'percentage': 0.018024611641349986, 'datetime': '2019-11-01T00:00:00.000+01:00'}, {'value': 3654.735, 'percentage': 0.023717855862245743, 'datetime': '2019-12-01T00:00:00.000+01:00'}]}"
5,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2020-01-24T13:30:10.000+01:00', 'values': [{'value': 129773.273, 'percentage': 1, 'datetime': '2019-01-01T00:00:00.000+01:00'}, {'value': 104239.34099999999, 'percentage': 1, 'datetime': '2019-02-01T00:00:00.000+01:00'}, {'value': 123001.18999999999, 'percentage': 1, 'datetime': '2019-03-01T00:00:00.000+01:00'}, {'value': 131681.432, 'percentage': 1, 'datetime': '2019-04-01T00:00:00.000+02:00'}, {'value': 131000.74100000001, 'percentage': 1, 'datetime': '2019-05-01T00:00:00.000+02:00'}, {'value': 134138.1, 'percentage': 1, 'datetime': '2019-06-01T00:00:00.000+02:00'}, {'value': 200507.24899999998, 'percentage': 1, 'datetime': '2019-07-01T00:00:00.000+02:00'}, {'value': 203766.54, 'percentage': 1, 'datetime': '2019-08-01T00:00:00.000+02:00'}, {'value': 172700.534, 'percentage': 1, 'datetime': '2019-09-01T00:00:00.000+02:00'}, {'value': 176753.69799999997, 'percentage': 1, 'datetime': '2019-10-01T00:00:00.000+02:00'}, {'value': 219081.44700000001, 'percentage': 1, 'datetime': '2019-11-01T00:00:00.000+01:00'}, {'value': 154092.13299999997, 'percentage': 1, 'datetime': '2019-12-01T00:00:00.000+01:00'}]}"
