,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-01-19T19:56:16.000+01:00', 'values': [{'value': 3933.761, 'percentage': 0.026054931158875066, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 2803.118, 'percentage': 0.015396090289286674, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 6611.028, 'percentage': 0.03306696011556291, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 7276.841, 'percentage': 0.040777377590622756, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 9539.247, 'percentage': 0.04053679543193293, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 10175.038, 'percentage': 0.04244215617678247, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 10655.094, 'percentage': 0.04253829801367622, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 11436.247, 'percentage': 0.04727209741257696, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 10774.231, 'percentage': 0.050708440652681104, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 8239.388, 'percentage': 0.0373251443615278, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 6428.965, 'percentage': 0.0431601889163105, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 5241.398, 'percentage': 0.026301057705462916, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-01-19T19:56:18.000+01:00', 'values': [{'value': 41443.254, 'percentage': 0.27449586539949267, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 38692.787, 'percentage': 0.21251964497967535, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 61956.056, 'percentage': 0.30989105365603986, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 27098.923, 'percentage': 0.15185476987475904, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 29171.631, 'percentage': 0.12396412822341565, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 26420.897, 'percentage': 0.11020694338484863, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 19800.649, 'percentage': 0.07905006826089007, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 20022.59, 'percentage': 0.08276402432826865, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 26527.495, 'percentage': 0.12485047943299106, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 44334.848, 'percentage': 0.20084071800555958, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 24669.189, 'percentage': 0.1656140385975299, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 71799.034, 'percentage': 0.360283751859808, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-11-11T15:26:40.000+01:00', 'values': [{'value': 101580.22, 'percentage': 0.6728079411035353, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 135500.657, 'percentage': 0.7442356509535684, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 126841.545, 'percentage': 0.6344345099599302, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 138747.101, 'percentage': 0.777499869391302, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 187446.559, 'percentage': 0.796549540713512, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 193540.538, 'percentage': 0.8072970086533832, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 209146.918, 'percentage': 0.8349765780129115, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 200682.819, 'percentage': 0.8295289327695134, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 166856.831, 'percentage': 0.7853042794662507, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 160582.244, 'percentage': 0.727451533924374, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 112480.275, 'percentage': 0.7551246457802394, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 118325.913, 'percentage': 0.593753167735895, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
3,Solar térmica,1708,1,"{'title': 'Solar térmica', 'description': None, 'color': '#ff0000', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-04-13T14:42:04.000+02:00', 'values': [{'value': 1042.322, 'percentage': 0.006903731049085334, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 2206.868, 'percentage': 0.012121194678403658, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 1882.905, 'percentage': 0.009417891519502562, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 2013.548, 'percentage': 0.011283358684468062, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 4889.369, 'percentage': 0.020777253272111988, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 5997.65, 'percentage': 0.025017419885181694, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 6526.754, 'percentage': 0.02605673931304157, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 5468.605, 'percentage': 0.022604655904240736, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 3803.666, 'percentage': 0.017901785438201662, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 3263.796, 'percentage': 0.014785279788568879, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 1362.802, 'percentage': 0.009149029707818565, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 1047.715, 'percentage': 0.005257378408180237, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
4,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2020-04-23T13:47:04.000+02:00', 'values': [{'value': 2979.963, 'percentage': 0.01973753128901192, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 2863.442, 'percentage': 0.015727419099065974, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 2636.974, 'percentage': 0.013189584748964365, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 3316.48, 'percentage': 0.018584624458848082, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 4276.359, 'percentage': 0.018172282359027427, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 3604.828, 'percentage': 0.01503647189980405, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 4352.962, 'percentage': 0.017378316399480672, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 4313.572, 'percentage': 0.017830289585400214, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 4511.891, 'percentage': 0.021235015009875506, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 4326.037, 'percentage': 0.019597323919969618, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 4014.674, 'percentage': 0.02695209699810155, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 2870.625, 'percentage': 0.014404644290653846, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
5,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2021-01-19T19:56:16.000+01:00', 'values': [{'value': 150979.51999999996, 'percentage': 1, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 182066.872, 'percentage': 1, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 199928.508, 'percentage': 1, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 178452.893, 'percentage': 1, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 235323.165, 'percentage': 1, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 239738.951, 'percentage': 1, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 250482.377, 'percentage': 1, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 241923.83299999998, 'percentage': 1, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 212474.114, 'percentage': 1, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 220746.31300000002, 'percentage': 1, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 148955.905, 'percentage': 1, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 199284.685, 'percentage': 1, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
