,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-01-19T19:56:16.000+01:00', 'values': [{'value': 68693.358, 'percentage': 0.24947451664487125, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 38430.575, 'percentage': 0.16849514928225448, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 79387.92, 'percentage': 0.2337378297135638, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 60232.48, 'percentage': 0.21132457967743792, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 51025.246, 'percentage': 0.1649974144924707, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 34631.549, 'percentage': 0.13603432468185084, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 24280.712, 'percentage': 0.07111456272826358, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 19427.096, 'percentage': 0.06467896852327172, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 18279.816, 'percentage': 0.06651333200205874, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 45703.971, 'percentage': 0.15269559905539415, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 31907.892, 'percentage': 0.13168414764373598, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 68218.181, 'percentage': 0.19307303571462434, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-01-19T19:56:18.000+01:00', 'values': [{'value': 172277.467, 'percentage': 0.6256622046141311, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 144298.391, 'percentage': 0.63266237709777, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 210465.835, 'percentage': 0.6196638922112208, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 174898.501, 'percentage': 0.6136282651824888, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 197074.674, 'percentage': 0.6372690818961763, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 162729.101, 'percentage': 0.6392074279039525, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 258527.761, 'percentage': 0.7571890262786378, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 225631.881, 'percentage': 0.7512001448412872, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 206404.315, 'percentage': 0.7510271837666481, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 208930.956, 'percentage': 0.6980320700719025, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 169954.878, 'percentage': 0.7014052588408264, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 246710.193, 'percentage': 0.6982462036660119, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-11-11T15:26:40.000+01:00', 'values': [{'value': 11659.481, 'percentage': 0.04234388114794243, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 20867.56, 'percentage': 0.09149180404811541, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 21674.25, 'percentage': 0.06381439588881042, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 22353.065, 'percentage': 0.0784253290853614, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 33521.312, 'percentage': 0.10839594600671659, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 30003.434, 'percentage': 0.11785487511189531, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 37163.681, 'percentage': 0.10884684615869902, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 31412.836, 'percentage': 0.10458330112080039, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 27483.123, 'percentage': 0.10000068296926057, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 19866.066, 'percentage': 0.06637193185563674, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 13865.337, 'percentage': 0.05722236632360907, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 10468.352, 'percentage': 0.029627827507878863, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
3,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2020-04-23T13:47:04.000+02:00', 'values': [{'value': 22721.898, 'percentage': 0.08251939759305503, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 24484.669, 'percentage': 0.10735066957186015, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 28117.144, 'percentage': 0.08278388218640509, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 27539.495, 'percentage': 0.09662182605471173, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 27627.529, 'percentage': 0.08933755760463663, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 27215.406, 'percentage': 0.10690337230230133, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 21458.786, 'percentage': 0.0628495648343996, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 23890.058, 'percentage': 0.07953758551464078, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 22662.099, 'percentage': 0.08245880126203259, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 24813.272, 'percentage': 0.08290039901706656, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 26578.143, 'percentage': 0.10968822719182852, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 27931.644, 'percentage': 0.07905293311148494, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
4,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2021-01-19T19:56:16.000+01:00', 'values': [{'value': 275352.204, 'percentage': 1, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 228081.195, 'percentage': 1, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 339645.149, 'percentage': 1, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 285023.541, 'percentage': 1, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 309248.76099999994, 'percentage': 1, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 254579.49, 'percentage': 1, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 341430.94, 'percentage': 1, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 300361.871, 'percentage': 1, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 274829.353, 'percentage': 1, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 299314.265, 'percentage': 1, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 242306.25, 'percentage': 1, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 353328.37, 'percentage': 1, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
