,type,id,groupId,attributes
0,Solar fotovoltaica,1458,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-11-10T12:42:49.000+01:00', 'values': [{'value': 4.709, 'percentage': 0.04312705492311496, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 5.41, 'percentage': 0.013533678471319734, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 6.338, 'percentage': 0.011500770740355312, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 5.699, 'percentage': 0.011687211741761632, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 8.014, 'percentage': 0.01596016928055763, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 8.75, 'percentage': 0.015969003707546402, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 7.909, 'percentage': 0.014370254354773942, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 8.19, 'percentage': 0.015613978228128034, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 6.833, 'percentage': 0.013145630227446529, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 6.295, 'percentage': 0.010807989499338559, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 4.727, 'percentage': 0.009022473153990924, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 3.833, 'percentage': 0.012629366159361315, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
1,Residuos renovables,10295,1,"{'title': 'Residuos renovables', 'description': 'Residuos renovables: el 50% de la generación procedente de residuos sólidos urbanos se considera renovable.', 'color': '#a0a0a0', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2020-02-10T08:17:56.000+01:00', 'values': [{'value': 104.48, 'percentage': 0.956872945076885, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 394.3335, 'percentage': 0.9864663215286802, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 544.7555, 'percentage': 0.9884992292596447, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 481.928, 'percentage': 0.9883127882582383, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 494.111, 'percentage': 0.9840398307194423, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 539.1865, 'percentage': 0.9840309962924536, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 542.464, 'percentage': 0.9856297456452261, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 516.34, 'percentage': 0.9843860217718718, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 512.9595, 'percentage': 0.9868543697725535, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 576.1445, 'percentage': 0.9891920105006615, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 519.187, 'percentage': 0.9909775268460091, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 299.666, 'percentage': 0.9873706338406386, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
2,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2021-11-10T12:42:49.000+01:00', 'values': [{'value': 109.18900000000001, 'percentage': 1, 'datetime': '2020-01-01T00:00:00.000+01:00'}, {'value': 399.74350000000004, 'percentage': 1, 'datetime': '2020-02-01T00:00:00.000+01:00'}, {'value': 551.0935, 'percentage': 1, 'datetime': '2020-03-01T00:00:00.000+01:00'}, {'value': 487.627, 'percentage': 1, 'datetime': '2020-04-01T00:00:00.000+02:00'}, {'value': 502.125, 'percentage': 1, 'datetime': '2020-05-01T00:00:00.000+02:00'}, {'value': 547.9365, 'percentage': 1, 'datetime': '2020-06-01T00:00:00.000+02:00'}, {'value': 550.373, 'percentage': 1, 'datetime': '2020-07-01T00:00:00.000+02:00'}, {'value': 524.5300000000001, 'percentage': 1, 'datetime': '2020-08-01T00:00:00.000+02:00'}, {'value': 519.7925, 'percentage': 1, 'datetime': '2020-09-01T00:00:00.000+02:00'}, {'value': 582.4395, 'percentage': 1, 'datetime': '2020-10-01T00:00:00.000+02:00'}, {'value': 523.914, 'percentage': 1, 'datetime': '2020-11-01T00:00:00.000+01:00'}, {'value': 303.499, 'percentage': 1, 'datetime': '2020-12-01T00:00:00.000+01:00'}]}"
