,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 227814.858, 'percentage': 0.1428110905827463, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 306758.08, 'percentage': 0.2551748716454709, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 270285.922, 'percentage': 0.17489444974620724, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 235923.132, 'percentage': 0.19734208697929406, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 289607.81, 'percentage': 0.22427371900209483, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 275771.771, 'percentage': 0.2540784589297809, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 226436.584, 'percentage': 0.1665733081183365, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 178880.721, 'percentage': 0.1563856132445995, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 122543.897, 'percentage': 0.15278982651606052, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 111800.572, 'percentage': 0.11943489848512882, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 102818.548, 'percentage': 0.062268645580299035, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 300180.331, 'percentage': 0.22593349002272997, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-10T23:30:06.000+01:00', 'values': [{'value': 1308593.598, 'percentage': 0.820322609774556, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 830282.066, 'percentage': 0.6906651639659709, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 1141945.948, 'percentage': 0.7389212384334652, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 773997.346, 'percentage': 0.6474238040213656, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 738724.988, 'percentage': 0.5720722807114141, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 577510.594, 'percentage': 0.5320812975420257, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 868237.682, 'percentage': 0.6387007804522271, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 724809.078, 'percentage': 0.6336608635889988, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 498674.278, 'percentage': 0.6217556181001959, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 657321.514, 'percentage': 0.7022068571946231, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 1431317.856, 'percentage': 0.8668302171318106, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 959606.523, 'percentage': 0.7222566850656418, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-15T19:06:23.000+01:00', 'values': [{'value': 54540.025, 'percentage': 0.034189694732993436, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 62253.228, 'percentage': 0.05178497487145648, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 129577.571, 'percentage': 0.08384601688390969, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 181407.039, 'percentage': 0.15174113434961597, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 258720.47, 'percentage': 0.2003544102932511, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 228310.004, 'percentage': 0.2103502246231436, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 260014.917, 'percentage': 0.19127450220148476, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 235912.585, 'percentage': 0.20624544708394651, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 176600.248, 'percentage': 0.22018820941048795, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 162376.008, 'percentage': 0.1734638891820738, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 112936.043, 'percentage': 0.06839597107331659, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 64895.141, 'percentage': 0.04884392539245736, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
3,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-04-22T10:52:33.000+02:00', 'values': [{'value': 4269.769, 'percentage': 0.0026766049097043617, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 2855.09, 'percentage': 0.0023749895171017747, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 3613.655, 'percentage': 0.002338294936417852, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 4175.863, 'percentage': 0.0034929746497245374, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 4260.807, 'percentage': 0.0032995899932400257, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 3787.998, 'percentage': 0.003490018905049902, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 4691.78, 'percentage': 0.0034514092279516496, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 4241.46, 'percentage': 0.0037080760824551853, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 4223.832, 'percentage': 0.005266345973255486, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 4581.506, 'percentage': 0.004894355138174146, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 4136.553, 'percentage': 0.002505166214573685, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 3940.561, 'percentage': 0.002965899519170891, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
4,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 1595218.25, 'percentage': 1, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 1202148.464, 'percentage': 1, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 1545423.0960000001, 'percentage': 1, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 1195503.38, 'percentage': 1, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 1291314.075, 'percentage': 1, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 1085380.3669999999, 'percentage': 1, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 1359380.963, 'percentage': 1, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 1143843.844, 'percentage': 1, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 802042.2550000001, 'percentage': 1, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 936079.6000000001, 'percentage': 1, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 1651209, 'percentage': 1, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 1328622.556, 'percentage': 1, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
