,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 26490.113, 'percentage': 0.561891954471207, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 38930.522, 'percentage': 0.6009983849523507, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 24195.068, 'percentage': 0.4487302051210572, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 13088.903, 'percentage': 0.3148670540449404, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 8455.222, 'percentage': 0.2153273715236048, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 10519.844, 'percentage': 0.2562573766436158, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 11175.877, 'percentage': 0.266857574448555, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 11293.412, 'percentage': 0.3049757340069145, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 6847.758, 'percentage': 0.20074269506973264, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 4728.201, 'percentage': 0.13831124815797607, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 3614.52, 'percentage': 0.11975181941333397, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 4046.756, 'percentage': 0.1330007227399906, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
1,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-15T19:06:23.000+01:00', 'values': [{'value': 2725.131, 'percentage': 0.05780379962063864, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 4573.041, 'percentage': 0.07059731321662945, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 7409.164, 'percentage': 0.13741295050278646, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 6904.51, 'percentage': 0.16609510539758995, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 9294.889, 'percentage': 0.23671099552130828, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 9123.747, 'percentage': 0.22224925306687623, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 10106.43, 'percentage': 0.2413213205669774, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 9325.536, 'percentage': 0.2518337404681513, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 7117.108, 'percentage': 0.20863871664599634, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 6518.099, 'percentage': 0.1906700684482863, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 4832.764, 'percentage': 0.1601131773500386, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 3622.212, 'percentage': 0.11904765543498716, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
2,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-04-22T10:52:33.000+02:00', 'values': [{'value': 12840.69, 'percentage': 0.2723688041972068, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 14136.785, 'percentage': 0.21823968744674468, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 15947.701, 'percentage': 0.29577164821108537, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 14197.974, 'percentage': 0.3415469002090289, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 15235.443, 'percentage': 0.38799784265720094, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 14541.792, 'percentage': 0.35422972713446316, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 14197.692, 'percentage': 0.3390124685416324, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 13566.525, 'percentage': 0.3663605755105858, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 13789.603, 'percentage': 0.4042435597405268, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 15370.066, 'percentage': 0.4496113876568426, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 14372.295, 'percentage': 0.4761651548186655, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 15386.281, 'percentage': 0.5056856635983453, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
3,Residuos renovables,10337,1,"{'title': 'Residuos renovables', 'description': 'Residuos renovables: el 50% de la generación procedente de residuos sólidos urbanos se considera renovable.', 'color': '#a0a0a0', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-04-22T10:52:33.000+02:00', 'values': [{'value': 5088.562, 'percentage': 0.10793544171094756, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 7136.069, 'percentage': 0.11016461438427508, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 6367.0315, 'percentage': 0.11808519616507103, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 7378.2305, 'percentage': 0.17749094034844076, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 6281.27, 'percentage': 0.1599637902978861, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 6866.485, 'percentage': 0.16726364315504472, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 6399.558, 'percentage': 0.15280863644283538, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 2845.0535, 'percentage': 0.0768299500143483, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 6357.6465, 'percentage': 0.18637502854374421, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 7568.858, 'percentage': 0.22140729573689497, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 7363.8455, 'percentage': 0.24396984841796202, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 7371.3225, 'percentage': 0.242265958226677, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
4,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 47144.496, 'percentage': 1, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 64776.417, 'percentage': 1, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 53918.964499999995, 'percentage': 1, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 41569.6175, 'percentage': 1, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 39266.82399999999, 'percentage': 1, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 41051.868, 'percentage': 1, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 41879.55699999999, 'percentage': 1, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 37030.5265, 'percentage': 1, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 34112.1155, 'percentage': 1, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 34185.224, 'percentage': 1, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 30183.424499999997, 'percentage': 1, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 30426.5715, 'percentage': 1, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
