,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 4268.739, 'percentage': 0.021167631216432354, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 5952.294, 'percentage': 0.03503003571262863, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 5158.942, 'percentage': 0.02302135231897952, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 7721.173, 'percentage': 0.04061641490489396, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 8313.676, 'percentage': 0.029363160421986185, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 7742.809, 'percentage': 0.02957211297531627, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 9297.514, 'percentage': 0.033454128672779686, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 9706.571, 'percentage': 0.04108826132093749, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 9516.188, 'percentage': 0.043768650896302955, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 7692.472, 'percentage': 0.041087405142496446, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 5692.786, 'percentage': 0.029464514871221516, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 4910.772, 'percentage': 0.029005203099331234, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-10T23:30:06.000+01:00', 'values': [{'value': 73736.704, 'percentage': 0.36564225580135784, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 43177.352, 'percentage': 0.2541044146234607, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 38065.238, 'percentage': 0.16986297870838774, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 21960.493, 'percentage': 0.11552085352886401, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 36292.234, 'percentage': 0.12818092610468115, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 20371.082, 'percentage': 0.07780328022213019, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 23447.522, 'percentage': 0.08436840407509283, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 18787.264, 'percentage': 0.07952715873993416, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 23505.07, 'percentage': 0.10810896160554664, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 19989.18, 'percentage': 0.10676717927946792, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 57900.385, 'percentage': 0.2996787082602352, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 61787.66, 'percentage': 0.3649453950076332, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-15T19:06:23.000+01:00', 'values': [{'value': 118529.474, 'percentage': 0.5877586317434041, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 116319.166, 'percentage': 0.6845536425188639, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 174040.138, 'percentage': 0.7766397324377393, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 154301.889, 'percentage': 0.8116887866950908, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 229879.846, 'percentage': 0.811915065715753, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 224770.714, 'percentage': 0.8584668623429175, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 234987.287, 'percentage': 0.8455265499751234, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 200129.027, 'percentage': 0.8471533108119186, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 177982.873, 'percentage': 0.8186124773762377, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 154130.84, 'percentage': 0.8232511302001876, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 125634.468, 'percentage': 0.6502543132174656, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 98776.197, 'percentage': 0.5834161421797943, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
3,Solar térmica,1708,1,"{'title': 'Solar térmica', 'description': None, 'color': '#ff0000', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-11T00:37:20.000+01:00', 'values': [{'value': 1173.532, 'percentage': 0.005819257770663021, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 1081.976, 'percentage': 0.006367571548079964, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 2883.413, 'percentage': 0.012866992215482495, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 1670.882, 'percentage': 0.008789498249698465, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 5392.486, 'percentage': 0.019045778484910236, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 5344.01, 'percentage': 0.020410379161002152, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 6266.066, 'percentage': 0.022546433190219442, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 3752.158, 'percentage': 0.015883018670697014, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 3100.197, 'percentage': 0.014259012138344233, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 2143.555, 'percentage': 0.011449260098733406, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 1308.514, 'percentage': 0.006772559202506742, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 876.398, 'percentage': 0.005176396294889622, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
4,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-04-22T10:52:33.000+02:00', 'values': [{'value': 3955.07, 'percentage': 0.01961222346814249, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 3388.936, 'percentage': 0.019944335596966956, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 3946.055, 'percentage': 0.01760894431941098, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 4445.379, 'percentage': 0.023384446621452806, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 3254.632, 'percentage': 0.011495069272669484, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 3599.446, 'percentage': 0.013747365298633898, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 3919.894, 'percentage': 0.014104484086784603, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 3862.063, 'percentage': 0.01634825045651279, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 3315.853, 'percentage': 0.015250897983568509, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 3266.095, 'percentage': 0.01744502527911469, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 2672.051, 'percentage': 0.013829904448570931, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 2955.562, 'percentage': 0.017456863418351662, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
5,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 201663.51900000003, 'percentage': 1, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 169919.724, 'percentage': 1, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 224093.786, 'percentage': 1, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 190099.816, 'percentage': 1, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 283132.87399999995, 'percentage': 1, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 261828.06100000002, 'percentage': 1, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 277918.283, 'percentage': 1, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 236237.08299999998, 'percentage': 1, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 217420.18099999998, 'percentage': 1, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 187222.142, 'percentage': 1, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 193208.204, 'percentage': 1, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 169306.589, 'percentage': 1, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
