,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2023-01-11T12:06:15.000+01:00', 'values': [{'value': 5307.576, 'percentage': 0.03132673390561405, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 5192.061, 'percentage': 0.028706395541705874, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 6268.848, 'percentage': 0.03496118818052301, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 5123.456, 'percentage': 0.020386878674942016, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 6862.081, 'percentage': 0.02344305931223508, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 8399.321, 'percentage': 0.028759922941281164, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 10963.346, 'percentage': 0.03760441343819888, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 11771.347, 'percentage': 0.0420551314981538, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 10171.566, 'percentage': 0.044428754234201194, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 4248.752, 'percentage': 0.024445651282791817, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 3121.981, 'percentage': 0.015845508297638214, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 3257.225, 'percentage': 0.02310622783255301, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-11T00:44:32.000+01:00', 'values': [{'value': 37371.563, 'percentage': 0.22057696578209934, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 30099.347, 'percentage': 0.16641633457870741, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 70690.231, 'percentage': 0.3942374210565707, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 56901.089, 'percentage': 0.22641662149827727, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 24590.961, 'percentage': 0.08401057307074336, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 18800.521, 'percentage': 0.0643744339829301, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 16184.727, 'percentage': 0.05551381535275639, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 22179.331, 'percentage': 0.07923941769332592, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 23326.176, 'percentage': 0.10188725519037306, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 12050.964, 'percentage': 0.06933651659722148, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 62794.248, 'percentage': 0.3187100682957237, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 35526.399, 'percentage': 0.2520185339865018, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2023-11-29T17:53:33.000+01:00', 'values': [{'value': 121389.317, 'percentage': 0.7164722337736157, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 139871.665, 'percentage': 0.7733367039730423, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 97331.106, 'percentage': 0.5428128282396435, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 182266.975, 'percentage': 0.7252633194807743, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 251554.727, 'percentage': 0.8593912524982005, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 255527.569, 'percentage': 0.8749461050259784, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 255488.316, 'percentage': 0.8763281085439794, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 237761.815, 'percentage': 0.8494443664828433, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 188893.123, 'percentage': 0.825073163591303, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 153403.055, 'percentage': 0.8826209645196832, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 128101.524, 'percentage': 0.6501749246654931, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 98982.015, 'percentage': 0.7021624204392326, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
3,Solar térmica,1708,1,"{'title': 'Solar térmica', 'description': None, 'color': '#ff0000', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2023-11-29T17:53:33.000+01:00', 'values': [{'value': 1344.878, 'percentage': 0.007937829857078714, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 1824.616, 'percentage': 0.010088122733481985, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 794.042, 'percentage': 0.004428349799714215, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 3181.284, 'percentage': 0.012658730930554344, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 5908.564, 'percentage': 0.020185540844262398, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 6060.024, 'percentage': 0.02074998958395738, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 5987.657, 'percentage': 0.020537738146194202, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 5222.038, 'percentage': 0.018656615489999237, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 3395.955, 'percentage': 0.014833315743653111, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 1204.168, 'percentage': 0.006928310010538824, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 978.98, 'percentage': 0.004968779666891586, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 530.291, 'percentage': 0.0037617986671330257, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
4,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-05-26T14:38:07.000+02:00', 'values': [{'value': 4013.074, 'percentage': 0.023686236681592164, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 3880.055, 'percentage': 0.02145244317306241, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 4224.553, 'percentage': 0.023560212723548732, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 3838.644, 'percentage': 0.015274449415452014, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 3796.359, 'percentage': 0.012969574274558615, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 3262.061, 'percentage': 0.011169548465853203, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 2920.084, 'percentage': 0.010015924518871296, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 2968.22, 'percentage': 0.010604468835677859, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 3154.238, 'percentage': 0.013777511240469588, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 2897.062, 'percentage': 0.016668557589764574, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 2029.512, 'percentage': 0.010300719074253279, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 2671.476, 'percentage': 0.018951019074579554, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
5,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2023-01-11T12:06:15.000+01:00', 'values': [{'value': 169426.408, 'percentage': 1, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 180867.744, 'percentage': 1, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 179308.77999999997, 'percentage': 1, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 251311.44800000003, 'percentage': 1, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 292712.69200000004, 'percentage': 1, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 292049.4959999999, 'percentage': 1, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 291544.12999999995, 'percentage': 1, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 279902.751, 'percentage': 1, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 228941.058, 'percentage': 1, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 173804.00100000002, 'percentage': 1, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 197026.24500000002, 'percentage': 1, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 140967.406, 'percentage': 1, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
