,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2023-01-11T12:06:15.000+01:00', 'values': [{'value': 136380.85, 'percentage': 0.4687298381780638, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 63493.732, 'percentage': 0.3567167684657046, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 133513.993, 'percentage': 0.5039793911169613, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 138274.464, 'percentage': 0.5587170837892925, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 99312.45, 'percentage': 0.5247884063969595, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 52806.432, 'percentage': 0.34194877112364364, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 29660.275, 'percentage': 0.20670274332487173, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 28229.535, 'percentage': 0.20025466030702815, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 21957.916, 'percentage': 0.1581385128851729, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 28263.213, 'percentage': 0.1300465771490869, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 84876.853, 'percentage': 0.2603802488356226, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 106771.314, 'percentage': 0.3470250545560744, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-11T00:44:32.000+01:00', 'values': [{'value': 130051.493, 'percentage': 0.4469763553219209, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 105473.825, 'percentage': 0.5925668696197799, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 117935.276, 'percentage': 0.4451739271230603, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 85389.218, 'percentage': 0.3450269376419941, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 67377.841, 'percentage': 0.3560390444990303, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 77315.699, 'percentage': 0.5006588640871535, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 89581.055, 'percentage': 0.6242912386495478, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 91369.739, 'percentage': 0.6481586057222276, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 97871.986, 'percentage': 0.7048633540249658, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 165015.418, 'percentage': 0.7592799264445208, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 217228.054, 'percentage': 0.6663995277322318, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 177227.244, 'percentage': 0.5760188922833966, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2023-11-29T17:53:33.000+01:00', 'values': [{'value': 33.414, 'percentage': 0.0001148411878418548, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 39.368, 'percentage': 0.00022117499316244097, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 47.651, 'percentage': 0.00017986970074450792, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 67.343, 'percentage': 0.00027210869950378055, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 67.61, 'percentage': 0.0003572658227291587, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 56.678, 'percentage': 0.00036701916254720395, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 74.256, 'percentage': 0.0005174907821431755, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 58.675, 'percentage': 0.0004162286836646398, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 55.37, 'percentage': 0.00039876869273259, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 38.683, 'percentage': 0.0001779907947429094, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 27.722, 'percentage': 8.504393133215165e-05, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 19.486, 'percentage': 6.333283688050956e-05, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
3,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-05-26T14:38:07.000+02:00', 'values': [{'value': 24492.571, 'percentage': 0.0841789653121735, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 8987.881, 'percentage': 0.0504951869213532, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 13422.629, 'percentage': 0.05066681205923388, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 23754.631, 'percentage': 0.09598386986920972, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 22484.942, 'percentage': 0.11881528328128108, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 24249.095, 'percentage': 0.15702534562665568, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 24176.825, 'percentage': 0.1684885272434373, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 21310.231, 'percentage': 0.15117050528707968, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 18967.153, 'percentage': 0.13659936439712883, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 24014.15, 'percentage': 0.11049550561164952, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 23840.072, 'percentage': 0.07313517950081347, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 23658.052, 'percentage': 0.07689272032364841, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
4,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2023-01-11T12:06:15.000+01:00', 'values': [{'value': 290958.328, 'percentage': 1, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 177994.80599999998, 'percentage': 1, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 264919.549, 'percentage': 1, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 247485.656, 'percentage': 1, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 189242.843, 'percentage': 1, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 154427.90399999998, 'percentage': 1, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 143492.411, 'percentage': 1, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 140968.18, 'percentage': 1, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 138852.425, 'percentage': 1, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 217331.46399999998, 'percentage': 1, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 325972.701, 'percentage': 1, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 307676.096, 'percentage': 1, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
