,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2023-01-11T12:06:15.000+01:00', 'values': [{'value': 228069.921, 'percentage': 0.17439786889721956, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 155261.888, 'percentage': 0.11871167073579625, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 178212.848, 'percentage': 0.12958861396860066, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 260406.525, 'percentage': 0.15427325415336904, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 381482.106, 'percentage': 0.22585733922954063, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 231982.171, 'percentage': 0.1797183387712406, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 169921.127, 'percentage': 0.13318573010868187, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 142520.561, 'percentage': 0.11870202224964702, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 102443.511, 'percentage': 0.08700029625540993, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 112200.293, 'percentage': 0.1282136851965975, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 107823.233, 'percentage': 0.08662817775852201, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 129036.554, 'percentage': 0.14751679633726775, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-11T00:44:32.000+01:00', 'values': [{'value': 933056.506, 'percentage': 0.7134788554913638, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 1000502.417, 'percentage': 0.7649740385565343, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 1064277.926, 'percentage': 0.7738965111410876, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 1148854.476, 'percentage': 0.6806185772848188, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 941266.162, 'percentage': 0.557278749153497, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 684507.108, 'percentage': 0.5302928229207157, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 708484.921, 'percentage': 0.5553169469878622, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 709830.971, 'percentage': 0.5912015159211348, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 794163.728, 'percentage': 0.6744446664982109, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 572679.517, 'percentage': 0.6544131868815842, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 1000839.799, 'percentage': 0.8041024703421334, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 643134.759, 'percentage': 0.7352426604698445, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2023-11-29T17:53:33.000+01:00', 'values': [{'value': 142241.661, 'percentage': 0.1087677078942854, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 147710.83, 'percentage': 0.11293820808794476, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 127234.057, 'percentage': 0.09251905954744595, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 274418.748, 'percentage': 0.16257454860108952, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 362063.79, 'percentage': 0.21436068154862065, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 370581.568, 'percentage': 0.28709233771332165, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 393214.976, 'percentage': 0.3082054868211168, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 345228.422, 'percentage': 0.2875326306739316, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 277593.937, 'percentage': 0.2357470426575442, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 186013.756, 'percentage': 0.2125619150925096, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 132103.134, 'percentage': 0.10613532405033572, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 99299.887, 'percentage': 0.1135213298310237, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
3,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-05-26T14:38:07.000+02:00', 'values': [{'value': 4388.265, 'percentage': 0.003355567717131174, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 4415.547, 'percentage': 0.0033760826197246348, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 5495.125, 'percentage': 0.003995815342865778, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 4276.64, 'percentage': 0.002533619960722813, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 4228.056, 'percentage': 0.0025032300683416444, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 3738.831, 'percentage': 0.002896500594722067, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 4199.793, 'percentage': 0.003291836082339139, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 3078.285, 'percentage': 0.002563831155286813, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 3306.435, 'percentage': 0.002807994588834976, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 4210.311, 'percentage': 0.00481121282930849, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 3900.821, 'percentage': 0.003134027849008901, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 3253.287, 'percentage': 0.0037192133618639623, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
4,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2023-01-11T12:06:15.000+01:00', 'values': [{'value': 1307756.3530000001, 'percentage': 1, 'datetime': '2022-01-01T00:00:00.000+01:00'}, {'value': 1307890.682, 'percentage': 1, 'datetime': '2022-02-01T00:00:00.000+01:00'}, {'value': 1375219.956, 'percentage': 1, 'datetime': '2022-03-01T00:00:00.000+01:00'}, {'value': 1687956.3889999997, 'percentage': 1, 'datetime': '2022-04-01T00:00:00.000+02:00'}, {'value': 1689040.1140000003, 'percentage': 1, 'datetime': '2022-05-01T00:00:00.000+02:00'}, {'value': 1290809.678, 'percentage': 1, 'datetime': '2022-06-01T00:00:00.000+02:00'}, {'value': 1275820.817, 'percentage': 1, 'datetime': '2022-07-01T00:00:00.000+02:00'}, {'value': 1200658.2389999998, 'percentage': 1, 'datetime': '2022-08-01T00:00:00.000+02:00'}, {'value': 1177507.611, 'percentage': 1, 'datetime': '2022-09-01T00:00:00.000+02:00'}, {'value': 875103.8770000001, 'percentage': 1, 'datetime': '2022-10-01T00:00:00.000+02:00'}, {'value': 1244666.987, 'percentage': 1, 'datetime': '2022-11-01T00:00:00.000+01:00'}, {'value': 874724.487, 'percentage': 1, 'datetime': '2022-12-01T00:00:00.000+01:00'}]}"
