,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 1156726.799, 'percentage': 0.4080999685617893, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 1448328.696, 'percentage': 0.46684870463552225, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 1206854.01, 'percentage': 0.45787884220914166, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 688403.318, 'percentage': 0.41265639253471764, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 290441.517, 'percentage': 0.17963946606847653, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 437704.852, 'percentage': 0.30704791687288, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 621623.371, 'percentage': 0.3659361409128856, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 890971.875, 'percentage': 0.46360179709342664, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 670404.721, 'percentage': 0.42076179303761996, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 436414.186, 'percentage': 0.271740379909345, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 418506.807, 'percentage': 0.22479702854509442, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 499906.223, 'percentage': 0.2367874386618515, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-10T23:30:06.000+01:00', 'values': [{'value': 1572457.728, 'percentage': 0.5547722676748864, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 1543768.847, 'percentage': 0.4976125160463048, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 1236567.347, 'percentage': 0.4691520436328417, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 803095.193, 'percentage': 0.4814072746891566, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 1117194.048, 'percentage': 0.6909898569273757, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 781909.447, 'percentage': 0.5485058385520835, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 861972.109, 'percentage': 0.5074242087046646, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 800036.86, 'percentage': 0.41628533564764003, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 741561.983, 'percentage': 0.4654217666459617, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 983641.903, 'percentage': 0.61248060441365, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 1301057.976, 'percentage': 0.6988511586376535, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 1513642.083, 'percentage': 0.7169573319841623, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-15T19:06:23.000+01:00', 'values': [{'value': 56869.972, 'percentage': 0.02006405817291853, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 66556.204, 'percentage': 0.021453470961855167, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 135179.263, 'percentage': 0.05128683661839518, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 126849.586, 'percentage': 0.07603869880429952, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 167113.864, 'percentage': 0.10336072339685516, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 167295.625, 'percentage': 0.1173571024481047, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 194047.762, 'percentage': 0.11423169155437382, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 177050.785, 'percentage': 0.09212531215174655, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 122419.615, 'percentage': 0.07683343374065398, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 125618.954, 'percentage': 0.07821868165342942, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 87594.565, 'percentage': 0.04705060371622613, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 59680.733, 'percentage': 0.028268597697636257, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
3,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-04-22T10:52:33.000+02:00', 'values': [{'value': 48365.712, 'percentage': 0.01706370559040584, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 43697.575, 'percentage': 0.014085308356317742, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 57149.056, 'percentage': 0.02168227753962171, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 49875.952, 'percentage': 0.029897633971826286, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 42052.955, 'percentage': 0.026009953607292552, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 38616.282, 'percentage': 0.0270891421269319, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 21077.659, 'percentage': 0.012407958828075901, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 53787.808, 'percentage': 0.027987555107186955, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 58925.46, 'percentage': 0.036983006575764484, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 60321.777, 'percentage': 0.03756033402357546, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 54550.345, 'percentage': 0.029301209101026043, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 37973.421, 'percentage': 0.017986631656350005, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
4,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 2834420.2109999997, 'percentage': 1, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 3102351.322, 'percentage': 1, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 2635749.6759999995, 'percentage': 1, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 1668224.0489999999, 'percentage': 1, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 1616802.384, 'percentage': 1, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 1425526.206, 'percentage': 1, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 1698720.901, 'percentage': 1, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 1921847.3279999997, 'percentage': 1, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 1593311.7789999999, 'percentage': 1, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 1605996.82, 'percentage': 1, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 1861709.693, 'percentage': 1, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 2111202.46, 'percentage': 1, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
