,type,id,groupId,attributes
0,Hidráulica,10330,1,"{'title': 'Hidráulica', 'description': 'Hidráulica: no incluye la generación bombeo.', 'color': '#0090d1', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 15402.108, 'percentage': 0.1042379755922421, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 20891.095, 'percentage': 0.19116304592730085, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 17755.933, 'percentage': 0.1289102793122252, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 12484.9, 'percentage': 0.11947567243380085, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 12626.526, 'percentage': 0.18238770633844256, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 10694.393, 'percentage': 0.15929420573501224, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 12821.849, 'percentage': 0.14654801357268663, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 14016.445, 'percentage': 0.1688789720088858, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 6190.632, 'percentage': 0.10555017912713628, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 2813.361, 'percentage': 0.03877127771142932, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 5796.517, 'percentage': 0.03599983658674678, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 9853.422, 'percentage': 0.09791881396287727, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
1,Eólica,10333,1,"{'title': 'Eólica', 'description': None, 'color': '#6fb114', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-10T23:30:06.000+01:00', 'values': [{'value': 126564.559, 'percentage': 0.8565602456420176, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 80023.713, 'percentage': 0.7322534660577698, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 106078.27, 'percentage': 0.7701414177817432, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 78024.301, 'percentage': 0.7466624344730259, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 39047.666, 'percentage': 0.564035922438966, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 38798.185, 'percentage': 0.5779033988684599, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 55639.61, 'percentage': 0.635935918560497, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 49533.029, 'percentage': 0.596805182627002, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 39129.84, 'percentage': 0.6671631622128698, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 56766.639, 'percentage': 0.7823081095577334, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 147507.567, 'percentage': 0.9161101929501119, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 85890.104, 'percentage': 0.8535366814522083, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
2,Solar fotovoltaica,1707,1,"{'title': 'Solar fotovoltaica', 'description': None, 'color': '#e48500', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2022-11-15T19:06:23.000+01:00', 'values': [{'value': 5153.449, 'percentage': 0.03487737464753944, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 7717.789, 'percentage': 0.07062128878664413, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 13143.273, 'percentage': 0.09542179470416046, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 13292.921, 'percentage': 0.12720812141742366, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 16882.492, 'percentage': 0.24386430544372265, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 16963.17, 'percentage': 0.25266835545486194, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 18335.209, 'percentage': 0.2095632585744884, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 18802.174, 'percentage': 0.22654045420591315, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 12635.07, 'percentage': 0.21542774659903963, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 12394.702, 'percentage': 0.17081292923034347, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 7276.071, 'percentage': 0.04518875162335714, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 4184.007, 'percentage': 0.04157875335618186, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
3,Otras renovables,10334,1,"{'title': 'Otras renovables', 'description': 'Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.', 'color': '#9a5cbc', 'type': None, 'magnitude': None, 'composite': False, 'last-update': '2021-04-22T10:52:33.000+02:00', 'values': [{'value': 638.97, 'percentage': 0.004324404118200894, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 651.574, 'percentage': 0.00596219922828531, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 761.214, 'percentage': 0.00552650820187124, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 695.302, 'percentage': 0.006653771675749634, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 672.357, 'percentage': 0.009712065778868727, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 680.36, 'percentage': 0.010134039941665967, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 695.811, 'percentage': 0.007952809292327858, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 645.334, 'percentage': 0.00777539115819898, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 695.538, 'percentage': 0.011858912060954378, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 588.318, 'percentage': 0.008107683500493778, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 434.937, 'percentage': 0.0027012188397842855, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 700.953, 'percentage': 0.006965751228732587, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
4,Generación renovable,1,1,"{'title': 'Generación renovable', 'description': None, 'color': '#2b2e34', 'type': 'Generación renovable', 'magnitude': None, 'composite': True, 'last-update': '2022-01-13T12:43:08.000+01:00', 'values': [{'value': 147759.08599999998, 'percentage': 1, 'datetime': '2021-01-01T00:00:00.000+01:00'}, {'value': 109284.171, 'percentage': 1, 'datetime': '2021-02-01T00:00:00.000+01:00'}, {'value': 137738.69, 'percentage': 1, 'datetime': '2021-03-01T00:00:00.000+01:00'}, {'value': 104497.424, 'percentage': 1, 'datetime': '2021-04-01T00:00:00.000+02:00'}, {'value': 69229.041, 'percentage': 1, 'datetime': '2021-05-01T00:00:00.000+02:00'}, {'value': 67136.108, 'percentage': 1, 'datetime': '2021-06-01T00:00:00.000+02:00'}, {'value': 87492.479, 'percentage': 1, 'datetime': '2021-07-01T00:00:00.000+02:00'}, {'value': 82996.982, 'percentage': 1, 'datetime': '2021-08-01T00:00:00.000+02:00'}, {'value': 58651.079999999994, 'percentage': 1, 'datetime': '2021-09-01T00:00:00.000+02:00'}, {'value': 72563.02, 'percentage': 1, 'datetime': '2021-10-01T00:00:00.000+02:00'}, {'value': 161015.092, 'percentage': 1, 'datetime': '2021-11-01T00:00:00.000+01:00'}, {'value': 100628.486, 'percentage': 1, 'datetime': '2021-12-01T00:00:00.000+01:00'}]}"
